source_key,source_type,source_records,linked_companies,signal_companies,signals,score_20_companies,score_50_companies,ats_boards,job_postings,manual_verified_contacts,provider_verified_contacts,verified_contacts,sent,positive_replies,meetings,bounces,record_to_signal_company_rate,score20_to_signal_company_rate,contact_to_score20_rate,decision
hacker_news_who_is_hiring,hiring_discovery,100,96,96,100,90,1,2,1,3,0,3,0,0,0,0,96.0%,93.8%,3.3%,ready_for_small_outreach
signal_enrichment,signal,0,0,10,10,10,1,2,1,0,0,0,0,0,0,0,0.0%,100.0%,0.0%,needs_more_sample
phase7_company_research,qualified_company_research,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0%,0.0%,0.0%,needs_more_sample
